Player,ATT,RUSH YDS,RUSH TDS,REC,REC YDS,REC TDS,FL,Points
Tommylee Lewis,0.1,0.3,0.0,5.9,66.4,0.1,0.1,7.0
Jeremy Ross,0.2,0.6,0.0,5.0,57.9,0.2,0.0,6.9
Jordan Payton,0.0,0.0,0.0,5.3,61.7,0.1,0.0,6.7
Aaron Burbridge,0.0,0.0,0.0,5.2,66.3,0.1,0.2,6.6
Trent Taylor,0.0,0.0,0.0,5.0,60.3,0.1,0.1,6.5
Josh Bellamy,0.0,0.2,0.0,4.0,54.3,0.2,0.1,6.5
Frankie Hammond,0.0,0.0,0.0,4.9,57.1,0.3,0.4,6.4
Tavarres King,0.0,0.0,0.0,4.3,56.4,0.1,0.0,6.2
Brittan Golden,0.0,0.0,0.0,4.3,44.7,0.4,0.4,5.9
Isaiah Burse,0.0,0.0,0.0,4.3,52.3,0.1,0.0,5.9
Jace Billingsley,0.0,0.0,0.0,4.5,56.5,0.0,0.0,5.7
Paul McRoberts,0.0,0.0,0.0,5.4,51.8,0.1,0.0,5.5
Isaiah McKenzie,0.0,0.0,0.0,3.0,44.5,0.2,0.1,5.3
Alex Erickson,0.0,0.0,0.0,3.9,47.0,0.1,0.1,5.2
Amara Darboh,0.0,0.0,0.0,3.7,43.7,0.1,0.0,5.2
Geremy Davis,0.0,0.0,0.0,5.0,44.4,0.1,0.0,5.0
Josh Malone,0.0,0.0,0.0,3.0,40.5,0.2,0.0,5.0
Jakeem Grant,0.1,0.5,0.0,3.0,40.1,0.2,0.4,4.2
Johnny Holton,0.7,3.2,0.0,3.0,38.0,0.1,0.3,4.1
De'Anthony Thomas,0.2,1.0,0.0,4.0,31.3,0.1,0.1,3.7
Rashawn Scott,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.9
