RNK,Player,C/A,YDS,TD,INT,RUSH,YDS.1,TD.1,REC,YDS.2,TD.2,Points
158,Quan Bray,0/0,0,0,0,0.0,0.0,0.0,1.8,21.8,0.2,6.6
159,Chad Hansen,0/0,0,0,0,0.0,0.0,0.0,2.4,31.3,0.1,6.3
160,Malachi Dupre,0/0,0,0,0,0.0,0.0,0.0,2.0,25.4,0.2,5.9
161,Shelton Gibson,0/0,0,0,0,0.0,0.0,0.0,2.2,26.4,0.1,5.6
162,Rodney Adams,0/0,0,0,0,0.0,0.0,0.0,1.7,21.6,0.1,5.4
164,Jared Abbrederis,0/0,0,0,0,0.0,0.0,0.0,1.8,23.2,0.2,5.0
165,Ishmael Zamora,0/0,0,0,0,0.0,0.0,0.0,1.8,22.6,0.1,4.9
166,Donteea Dye,0/0,0,0,0,0.0,0.0,0.0,1.7,20.5,0.1,4.6
167,Brenton Bersin,0/0,0,0,0,0.0,0.0,0.0,1.6,20.7,0.1,4.4
168,Kasen Williams,0/0,0,0,0,0.0,0.0,0.0,1.5,19.0,0.1,4.2
169,Josh Malone,0/0,0,0,0,0.0,0.0,0.0,1.6,19.2,0.1,4.2
170,Jordan Payton,0/0,0,0,0,0.0,0.0,0.0,1.6,18.9,0.1,4.0
171,Marcus Johnson,0/0,0,0,0,0.0,0.0,0.0,1.5,17.6,0.1,3.7
172,Wendall Williams,0/0,0,0,0,0.0,0.0,0.0,0.8,10.8,0.0,2.2
173,Trevor Davis,0/0,0,0,0,1.9,11.7,0.0,0.0,0.0,0.0,2.1
174,Alex Erickson,0/0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
175,Pharoh Cooper,0/0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.2
176,Brittan Golden,0/0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
177,Mario Alford,0/0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
179,Demarcus Ayers,0/0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
180,Deonte Thompson,0/0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
181,DeAngelo Yancey,0/0,0,0,0,0.0,0.0,0.0,0.1,1.3,0.0,0.3
182,Cody Latimer,0/0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
183,Jeff Janis,0/0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
185,Keenan Reynolds,0/0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
198,Devin Hester,0/0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
